237	10319
54	1306
114	3744
39	1095
278	5936
42	824
12	294
24	762
20	466
16	393
11	227
11	227
11	227
29	556
24	724
194	6132
30	1134
20	1100
15	1151
5	140
6	181
65	2531
41	1302
6	151
9	184
6	174
44	871
11	333
10	397
12	432
71	1995
14	371
57	2559
25	594
46	893
30	1503
6	219
82	2874
102	2712
11	339
8	179
125	4249
7	241
207	7588
110	6748
66	2186
74	2078
142	3623
180	5651
64	2312
24	668
250	6300
94	2846
168	6638
26	732
66	1264
164	4110
42	922
42	922
28	908
204	5980
109	3170
31	709
25	511
45	1143
47	1612
19	353
105	2502
21	368
1	224
530	26722
126	10017
52	1234
54	1292
9	458
2	89
23	1703
21	2492
38	2617
50	1862
10	1686
